percentile,parent_hh_income,kid_hh_income,kid_individual_income
1,1156.111730217934,0,0
2,3138.072649240494,0,0
3,4898.015892505646,0,0
4,6601.394122838974,0,0
5,8255.920751094818,0,0
6,9850.025660991669,0,0
7,11372.13873624802,0,0
8,12824.83111381531,0,0
9,14218.38734149933,0,0
10,15542.52287149429,0,0
11,16828.09134721756,216.875401854515,0
12,18062.2370839119,264.8271059989929,0
13,19270.67145109177,791.5245105028154,9.81531531214714
14,20440.53876399994,1049.79521727562,150.0258411169052
15,21623.26176166534,1911.640323400497,335.0191447734833
16,22793.12907457352,3001.802390813828,659.4966280460358
17,23950.14070272446,4196.095504760742,922.138267636299
18,25120.00801563263,5441.811357736588,1532.397623062134
19,26277.01964378357,6696.526190042496,2254.88710641861
20,27434.03127193451,7938.385337591171,3060.938540697098
21,28603.89858484268,9141.677430868149,3926.126124858856
22,29773.76589775085,10283.26223731041,4833.737468719482
23,30943.63321065903,11391.42226338387,5764.489045143127
24,32126.35620832443,12440.44613957405,6710.667443275452
25,33321.93489074707,13421.3348865509,7660.702546834946
26,34517.51357316971,14346.94418907166,8605.595376491547
27,35725.94794034958,15285.40917634964,9542.774795293808
28,36960.09367704391,16262.44121789932,10455.52841305733
29,38194.23941373825,17200.90620517731,11342.57066130638
30,39454.09651994705,18100.80413818359,12212.90051937103
31,40726.80931091309,18987.84638643265,13087.08708286285
32,42025.23347139359,19849.17726516724,13948.41796159744
33,43349.36900138855,20710.50814390182,14784.03747081757
34,44686.36021614075,21584.69470739365,15619.65698003769
35,46049.06280040741,22458.88127088547,16455.27648925781
36,47437.47675418854,23333.06783437729,17290.89599847794
37,48851.60207748413,24194.39871311188,18113.65982294083
38,50304.29445505142,25055.72959184647,18923.56796264648
39,51769.84251737595,25929.91615533829,19733.47610235214
40,53261.10194921494,26804.10271883011,20530.52855730057
41,54790.92843532562,27678.28928232193,21327.58101224899
42,56333.61060619354,28539.62016105652,22124.63346719742
43,57902.00414657593,29413.80672454834,22921.68592214584
44,59496.10905647278,30275.13760328293,23718.73837709427
45,61115.92533588409,31149.32416677475,24515.79083204269
46,62761.45298480988,32023.51073026657,25299.98760223389
47,64419.83631849289,32897.69729375839,26084.18437242508
48,66103.93102169037,33771.88385725021,26868.38114261627
49,67800.88140964508,34658.92610549927,27639.72222805023
50,69523.54316711426,35545.96835374832,28423.91899824142
51,71259.06060934067,36445.86628675461,29195.26008367538
52,73020.28942108154,37345.76421976089,29966.60116910934
53,74807.22960233688,38258.51783752441,30737.9422545433
54,76607.02546834946,39171.27145528793,31522.1390247345
55,78432.5327038765,40109.73644256592,32293.48011016846
56,80270.89562416077,41061.05711460114,33077.67688035965
57,82147.82559871674,42012.37778663635,33861.87365055084
58,84050.46694278717,42989.40982818604,34646.07042074203
59,85978.81965637207,43992.15323925018,35430.26719093323
60,87920.0280547142,44994.89665031433,36227.31964588165
61,89912.65919208527,46023.35143089294,37024.37210083008
62,91918.14601421356,47090.37326574326,37834.28024053574
63,93962.19989061356,48170.2507853508,38644.18838024139
64,96044.82082128525,49288.69535923004,39466.95220470428
65,98153.15312147141,50432.85130262375,40302.57171392441
66,100300.0524759293,51615.57430028915,41138.19122314453
67,102498.374569416,52836.86435222626,41999.52210187912
68,104722.4080324173,54096.72145843506,42873.70866537094
69,107010.7199192047,55395.14561891556,43747.89522886276
70,109350.4545450211,56744.99251842499,44647.79316186905
71,111741.6119098663,58133.40647220612,45560.54677963257
72,114209.903383255,59586.09884977341,46499.01176691055
73,116729.6175956726,61090.21396636963,47476.04380846024
74,119339.3216013908,62645.75182199478,48465.93153476715
75,122039.0154004097,64265.5681014061,49494.38631534576
76,124815.843307972,65949.66280460358,50561.40815019608
77,127708.3723783493,67723.74730110168,51666.99703931808
78,130742.3139810562,69574.96590614319,52811.15298271179
79,133827.6783227921,71516.17430448532,53993.8759803772
80,137170.1563596725,73547.37249612808,55228.02171707153
81,140641.1912441254,75681.4161658287,56526.44587755203
82,144240.7829761505,77918.30531358719,57876.29277706146
83,148097.4884033203,80270.89562416077,59290.41810035706
84,152339.8643732071,82752.04278230667,60794.53321695328
85,156710.7971906662,85387.45815753937,62388.63812685013
86,161595.9573984146,88189.99743461609,64085.58851480484
87,166995.3449964523,91159.66061353683,65911.09575033188
88,172780.403137207,94322.15906381607,67878.01551818848
89,179465.359210968,97728.91552448273,70024.91487264633
90,186921.656370163,101431.3527345657,72377.50518321991
91,195534.9651575089,105468.0377483368,74961.49781942368
92,205562.3992681503,109928.9603590965,77866.88257455826
93,217775.2997875214,114929.82172966,81170.79355716705
94,233202.1214962006,120650.6014466286,85014.64329957962
95,253256.9897174835,127335.5575203896,89578.41138839722
96,281153.8256406784,135498.9173412323,95183.48994255066
97,323449.0284919739,145912.0219945908,102434.0961456299
98,395826.5336751938,160696.0594654083,112782.9223752022
99,549966.1939144135,186793.0995225906,131127.9845237732
100,1839648.488759995,397883.443236351,283853.5194396973
