GEOID,CBSA.Code,Metropolitan.Division.Code,CSA.Code,CBSA.Title,Metropolitan.Micropolitan.Statistical.Area,Metropolitan.Division.Title,CSA.Title,County.County.Equivalent,State.Name,FIPS.State.Code,FIPS.County.Code,Central.Outlying.County,lon,lat,state,county,NAME,P1_001N,area,density,densest,distance,RS
01001,33860,NA,388,"Montgomery, AL",Metropolitan Statistical Area,,"Montgomery-Selma, AL",Autauga County,Alabama,1,1,Central,-86.64276070192143,32.534894460571316,01,001,"Autauga County, Alabama",58805,604.734631047193,97.2409995739287,01101,53869.4853437143,44.4
01003,19300,NA,380,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,,"Mobile-Daphne-Fairhope, AL",Baldwin County,Alabama,1,3,Central,-87.74978532691107,30.660151859002617,01,003,"Baldwin County, Alabama",231767,2029.29296254298,114.210714903167,01003,0,33.6
01005,21640,NA,NA,"Eufaula, AL-GA",Micropolitan Statistical Area,,,Barbour County,Alabama,1,5,Central,-85.3934173467123,31.86951606052695,01,005,"Barbour County, Alabama",25223,905.189241298522,27.8648915046945,01005,0,39.800000000000004
01007,13820,NA,142,"Birmingham, AL",Metropolitan Statistical Area,,"Birmingham-Cullman-Talladega, AL",Bibb County,Alabama,1,7,Outlying,-87.12646184210968,32.99859743757736,01,007,"Bibb County, Alabama",22293,626.482163961095,35.5844129049848,01073,65446.900486994,43.4
01009,13820,NA,142,"Birmingham, AL",Metropolitan Statistical Area,,"Birmingham-Cullman-Talladega, AL",Blount County,Alabama,1,9,Outlying,-86.5675392579738,33.980800698440014,01,009,"Blount County, Alabama",59134,650.81955335427,90.8608226277596,01073,56412.4355866171,31.7
01015,11500,NA,NA,"Anniston-Oxford, AL",Metropolitan Statistical Area,,,Calhoun County,Alabama,1,15,Central,-85.82613050437105,33.77138209687875,01,015,"Calhoun County, Alabama",116441,612.481845853654,190.113389953149,01015,0,39.900000000000006
01017,29300,NA,122,"LaGrange, GA-AL",Micropolitan Statistical Area,,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Chambers County,Alabama,1,17,Outlying,-85.3920153136391,32.91429619632938,01,017,"Chambers County, Alabama",34772,603.429619703947,57.6239529260425,13285,36459.8072081939,38.6
01021,13820,NA,142,"Birmingham, AL",Metropolitan Statistical Area,,"Birmingham-Cullman-Talladega, AL",Chilton County,Alabama,1,21,Outlying,-86.7188615105052,32.847798339534904,01,021,"Chilton County, Alabama",45014,701.164427034961,64.198921486009,01073,80365.3593202794,36.3
01031,21460,NA,222,"Enterprise, AL",Micropolitan Statistical Area,,"Dothan-Enterprise-Ozark, AL",Coffee County,Alabama,1,31,Central,-85.98822658422924,31.402522847317716,01,031,"Coffee County, Alabama",53465,681.068303979319,78.5016711064321,01031,0,39.4
01033,22520,NA,250,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,,"Florence-Muscle Shoals-Russellville, AL",Colbert County,Alabama,1,33,Central,-87.80493962776383,34.70053214300624,01,033,"Colbert County, Alabama",57227,623.602859791616,91.7683411829174,01077,26295.5615023677,41.9
