GEOID,RS
01001,0.444
01003,0.336
01005,0.398
01007,0.434
01009,0.317
01011,0.365
01013,0.494
01015,0.399
01017,0.386
01019,0.404
01021,0.363
01023,0.337
01025,0.387
01027,0.356
01029,0.404
01031,0.394
01033,0.419
01035,0.359
01037,0.291
01039,0.417
01041,0.373
01043,0.335
01045,0.402
01047,0.413
01049,0.352
01051,0.376
01053,0.407
01055,0.395
01057,0.53
01059,0.371
01061,0.486
01063,0.33
01065,0.413
01067,0.37
01069,0.406
01071,0.385
01073,0.407
01075,0.443
01077,0.34
01079,0.349
01081,0.384
01083,0.377
01085,0.349
01087,0.334
01089,0.373
01091,0.432
01093,0.392
01095,0.339
01097,0.399
01099,0.389
01101,0.439
01103,0.357
01105,0.42
01107,0.469
01109,0.427
01111,0.371
01113,0.354
01115,0.323
01117,0.363
01119,0.349
01121,0.417
01123,0.481
01125,0.41
01127,0.33
01129,0.393
01131,0.445
01133,0.42
02013,
02016,
02020,0.285
02050,0.294
02060,
02068,
02070,
02090,0.263
02100,
02110,0.298
02122,0.259
02130,0.214
02150,0.231
02164,
02170,0.234
02180,0.429
02185,0.355
02188,0.35
02201,0.302
02220,0.283
02232,
02240,0.179
02261,0.281
02270,
02280,0.244
02282,
02290,0.384
04001,0.287
04003,0.265
04005,0.278
04007,0.346
04009,0.301
04011,0.333
04012,0.38
04013,0.287
04015,0.292
04017,0.313
04019,0.305
04021,0.33
04023,0.181
04025,0.235
04027,0.241
05001,0.413
05003,0.387
05005,0.294
05007,0.298
05009,0.308
05011,0.46
05013,
05015,0.285
05017,0.456
05019,0.366
05021,0.346
05023,0.256
05025,0.377
05027,0.394
05029,0.429
05031,0.343
05033,0.336
05035,0.46
05037,0.381
05039,0.428
05041,0.411
05043,0.459
05045,0.341
05047,0.264
05049,0.324
05051,0.366
05053,0.403
05055,0.344
05057,0.33
05059,0.375
05061,0.368
05063,0.32
05065,0.312
05067,0.379
05069,0.424
05071,0.342
05073,0.485
05075,0.357
05077,0.35
05079,0.335
05081,0.255
05083,0.395
05085,0.354
05087,0.325
05089,0.23
05091,0.401
05093,0.407
05095,0.435
05097,
05099,0.391
05101,0.38
05103,0.416
05105,0.339
05107,0.47
05109,0.323
05111,0.439
05113,0.307
05115,0.335
05117,0.301
05119,0.407
05121,0.358
05123,0.435
05125,0.356
05127,0.415
05129,0.257
05131,0.365
05133,0.363
05135,0.331
05137,0.368
05139,0.455
05141,0.256
05143,0.325
05145,0.344
05147,0.477
05149,0.201
06001,0.271
06003,
06005,0.191
06007,0.283
06009,0.231
06011,0.214
06013,0.27
06015,0.288
06017,0.22
06019,0.308
06021,0.254
06023,0.306
06025,0.22
06027,0.315
06029,0.256
06031,0.269
06033,0.265
06035,0.268
06037,0.225
06039,0.264
06041,0.197
06043,0.254
06045,0.261
06047,0.26
06049,0.283
06051,0.234
06053,0.217
06055,0.191
06057,0.232
06059,0.203
06061,0.221
06063,0.257
06065,0.235
06067,0.268
06069,0.21
06071,0.254
06073,0.237
06075,0.184
06077,0.253
06079,0.203
06081,0.236
06083,0.223
06085,0.233
06087,0.214
06089,0.31
06091,
06093,0.247
06095,0.258
06097,0.229
06099,0.262
06101,0.269
06103,0.322
06105,0.283
06107,0.285
06109,0.241
06111,0.239
06113,0.253
06115,0.258
08001,0.29
08003,0.311
08005,0.28
08007,0.187
08009,
08011,
08013,0.198
08015,0.204
08017,
08019,
08021,0.238
08023,
08025,
08027,
08029,0.209
08031,0.312
08033,
08035,0.221
08037,0.243
08039,0.193
08041,0.288
08043,0.246
08045,0.163
08047,
08049,0.306
08051,0.146
08053,
08055,0.298
08057,
08059,0.252
08061,
08063,0.214
08065,0.285
08067,0.185
08069,0.246
08071,0.285
08073,
08075,0.282
08077,0.261
08079,
08081,0.271
08083,0.199
08085,0.272
08087,0.336
08089,0.308
08091,
08093,0.183
08095,
08097,0.18
08099,0.256
08101,0.368
08103,0.213
08105,0.313
08107,0.11
08109,0.236
08111,
08113,
08115,
08117,0.143
08119,0.204
08121,
08123,0.311
08125,0.292
09001,0.355
09003,0.384
09005,0.322
09007,0.325
09009,0.363
09011,0.324
09013,0.31
09015,0.312
10001,0.37
10003,0.399
10005,0.399
11001,0.32
12001,0.363
12003,0.371
12005,0.325
12007,0.386
12009,0.307
12011,0.293
12013,0.408
12015,0.236
12017,0.287
12019,0.29
12021,0.283
12023,0.344
12027,0.312
12029,0.368
12031,0.373
12033,0.353
12035,0.287
12037,0.34
12039,0.424
12041,0.366
12043,
12045,0.403
12047,0.437
12049,0.388
12051,0.25
12053,0.287
12055,0.322
12057,0.347
12059,0.423
12061,0.308
12063,0.369
12065,0.333
12067,
12069,0.31
12071,0.309
12073,0.362
12075,0.419
12077,
12079,0.466
12081,0.325
12083,0.344
12085,0.301
12086,0.252
12087,0.221
12089,0.378
12091,0.316
12093,0.298
12095,0.326
12097,0.272
12099,0.302
12101,0.336
12103,0.322
12105,0.341
12107,0.365
12109,0.338
12111,0.307
12113,0.292
12115,0.3
12117,0.321
12119,0.372
12121,0.355
12123,0.354
12125,0.424
12127,0.297
12129,0.274
12131,0.32
12133,0.335
13001,0.369
13003,0.245
13005,0.32
13007,
13009,0.417
13011,0.299
13013,0.314
13015,0.335
13017,0.418
13019,0.284
13021,0.399
13023,0.503
13025,0.32
13027,0.436
13029,0.348
13031,0.429
13033,0.412
13035,0.365
13037,0.5
13039,0.334
13043,0.389
13045,0.36
13047,0.33
13049,0.419
13051,0.346
13053,
13055,0.344
13057,0.284
13059,0.399
13061,
13063,0.277
13065,0.418
13067,0.343
13069,0.382
13071,0.444
13073,0.347
13075,0.447
13077,0.351
13079,
13081,0.448
13083,0.329
13085,0.306
13087,0.384
13089,0.322
13091,0.423
13093,0.405
13095,0.37
13097,0.298
13099,0.471
13101,
13103,0.352
13105,0.409
13107,0.38
13109,0.497
13111,0.267
13113,0.294
13115,0.376
13117,0.167
13119,0.354
13121,0.402
13123,0.284
13125,
13127,0.329
13129,0.351
13131,0.423
13133,0.407
13135,0.29
13137,0.432
13139,0.334
13141,0.308
13143,0.361
13145,0.305
13147,0.336
13149,0.334
13151,0.319
13153,0.347
13155,0.426
13157,0.35
13159,0.451
13161,0.447
13163,0.546
13165,0.332
13167,0.503
13169,0.372
13171,0.323
13173,
13175,0.423
13177,0.302
13179,0.264
13181,0.371
13183,
13185,0.405
13187,0.289
13189,0.409
13191,0.317
13193,0.24
13195,0.371
13197,
13199,0.39
13201,0.343
13205,0.418
13207,0.375
13209,0.376
13211,0.436
13213,0.401
13215,0.375
13217,0.246
13219,0.327
13221,0.405
13223,0.303
13225,0.336
13227,0.318
13229,0.374
13231,0.261
13233,0.331
13235,0.356
13237,0.336
13239,
13241,0.306
13243,0.532
13245,0.353
13247,0.217
13249,
13251,0.423
13253,0.473
13255,0.42
13257,0.395
13259,
13261,0.407
13263,0.524
13265,
13267,0.349
13269,0.399
13271,0.432
13273,0.529
13275,0.394
13277,0.41
13279,0.435
13281,
13283,0.417
13285,0.401
13287,0.483
13289,0.253
13291,0.315
13293,0.425
13295,0.332
13297,0.354
13299,0.434
13301,0.457
13303,0.459
13305,0.403
13307,
13309,
13311,0.227
13313,0.353
13315,0.446
13317,0.432
13319,0.386
13321,0.349
15001,0.254
15003,0.232
15005,
15007,0.259
15009,0.233
16001,0.257
16003,
16005,0.26
16007,0.129
16009,0.202
16011,0.25
16013,0.216
16015,
16017,0.202
16019,0.246
16021,0.209
16023,
16025,
16027,0.275
16029,0.162
16031,0.27
16033,
16035,0.276
16037,
16039,0.293
16041,0.104
16043,0.218
16045,0.235
16047,0.228
16049,0.222
16051,0.207
16053,0.276
16055,0.226
16057,0.237
16059,0.195
16061,0.34
16063,
